Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
MISSING	MISSING	RetroArch PSX-Place CE Unofficial BETA Updated: 2/08/22	https://archive.org/download/retro-arch-community-edition-unofficial-beta-v4/RetroArch_Community_Edition_unofficial_beta.pkg	MISSING	RetroArch_PSX_Place_CE_BETA_Installer		612552704	612552704
MISSING	MISSING	MAME For PS3 v0.142 (Preview)	https://archive.org/download/ps3-mame-v0.142/PS3MAME_v0.142.pkg	MISSING	PS3MAME_v0.142_Preview_Installer		83226624	83226624
MISSING	MISSING	DoPsBox (DOS Emulator) v0.74-ps3-r1	https://archive.org/download/dopsbox_v0.74-ps3-r1/dopsbox_v0.74-ps3-r1.pkg	MISSING	DoPsBox_v0.74-ps3-r1_Installer		2072576	2072576
MISSING	MISSING	ScummVM PS3 (ALL CFW) v2.5.1 Stable Updated: 02/24/2022	https://archive.org/download/scummvm-v2.5.1-ps3/scummvm-v2.5.1-ps3.pkg	MISSING	ScummVM_All_CFW_v2.5.1_Installer		88707072	88707072















































