Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUB30077	US	BATTLEFIELD 1943 (Trial to Full)	http://zeus.dl.playstation.net/cdn/UP0006/NPUB30077_00/ymidd0pl3nu1W22UbpvOytnXa5GrrpaFSx88JdfW3BTq0PkB9FPpysy3YCJTkqkLYJkRG8Ry6RqPcSYPw9iRjxCvswWEXA2sWNsM0.pkg	NOT REQUIRED	UP0006-NPUB30077_00-BF1943USGAME0000			592187280	
NPUB30336	US	Alien Breed 3: Descent (DEMO)	http://zeus.dl.playstation.net/cdn/UP4064/NPUB30336_00/emNRmxydfOvXKNWphaqyzLnxbISFZuCqwVeZAIxHQbSIjTnDWtnZqRUMPCzeTAqfcwoNgHKcfIpVOJBJXoaoKcOhPpVkYJWiUadDN.pkg	MISSING	UP4064-NPUB30336_00-ALIENBREED000041			1764966576	
NPUB30579	US	Sonic Adventure 2 Demo	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30579_00/HGSUOnzkTjRnRPgJIeqTlCyisRGDRrEZOKUyvOktZBHrMymbsZERpwcAwEnhHEjx.pkg	NOT REQUIRED	UP0177-NPUB30579_00-SONICADVENTURE2T	2017-11-26 22:04:39		3289360800	
NPUB30617	US	Tales from Space: Mutant Blobs Attack (Playable Demo)	http://zeus.dl.playstation.net/cdn/UP2045/NPUB30617_00/vhDATHnRuNCOCJMtOBdlxSDJMdekOHnAlHlsXKVhKaSBpBohfhFBRIlTDIvgtpoHPamZdCTQwVBAmpzYIpUVDTnVGrlctEooChqAd.pkg	MISSING	UP2045-NPUB30617_00-MUTANTBLOBSATK01			254903104	
NPUB30783	US	Pure Chess Trial	http://zeus.dl.playstation.net/cdn/UP2070/NPUB30783_00/OrERKLefWfqDovNNxvpTSfNFAOSwOPyMefiawaIKVObejKheUWmRJjUFpltNPHsL.pkg	MISSING	UP2070-NPUB30783_00-UPURECHESS000001			382584656	
NPUB30834	US	Anomaly Warzone Earth Trial	http://zeus.dl.playstation.net/cdn/UP4361/NPUB30834_00/glzSbHKmgcFXFroeBqPrUFfJTdetbXeYlzbQSOZrRskHzJuIxekcWOmaBDjNZzhKzaAwUsGKdQjuJRnBYksOFHVFheNrfFKnkxYJT.pkg	MISSING	UP4361-NPUB30834_00-ANOMALYTRIAL0001			628352976	
NPUB30876	US	Alien Spidy (Trial)	http://zeus.dl.playstation.net/cdn/UP2060/NPUB30876_00/udNMxBHvsBqqaZACXRsymGugYJEEWExHYaZGJqDyUKviEKloompVzXVKqbwwLHhr.pkg	MISSING	UP2060-NPUB30876_00-ALIENSPIDYTRIAL0			1608000576	
NPUB30878	US	A-men Trial	http://zeus.dl.playstation.net/cdn/UP0700/NPUB30878_00/BoxwshpNhrtViuhFZJWorkTkObDSysPypeFSYkmKWdVANTDCZYIGyIaaIeQMpDqo.pkg	MISSING	UP0700-NPUB30878_00-GAMEPURCHASE0001			298575696	
NPUB31367	US	Tiny Brains (Trial)	http://zeus.dl.playstation.net/cdn/UP4040/NPUB31367_00/zVKJbwAncaGUtijWzNYntWatBaRRFuuDEOAxtlTUsPaKxtfFijmHGKFwZdcbTsgs.pkg	MISSING	UP4040-NPUB31367_00-TINYBRAINSGAME01			1281485280	
NPUB31664	US	Adventure Time: Finn and Jake Investigations (DEMO)	http://zeus.dl.playstation.net/cdn/UP2089/NPUB31664_00/UP2089-NPUB31664_00-ADVENTURETIMEFJI_bg_1_42dd76fa40deefba8f7fe5e153a71123f7b43571.pkg	MISSING	UP2089-NPUB31664_00-ADVENTURETIMEFJI			1296831408	
NPJB00188	JP	Sonic Adventure 2: Trial	http://ares.dl.playstation.net/cdn/JP0177/NPJB00188_00/xrBMmDDemZPIIzsfkeQZIJuSIffUIMKGJhNNAZajOBowomlPrGTKRHLYjoOmikkhKBVBVzvEKsJClvbGbUwAMmOlweAckmKXawPNy.pkg?product=0088&country=jp	MISSING	JP0177-NPJB00188_00-SONICADVENTURE2T			3289340544	
NPJB00383	JP	テラリア(DEMO)	http://ares.dl.playstation.net/cdn/JP0365/NPJB00383_00/vIkMqCXowsveoGQjfehnasGCwSeEmkznKIqIbzzmdnSfywqBgaohnfoPtxoRRNchQChdmElvduTtLYhxyXzwNIXFtmolbdyYIrKca.pkg?product=0088&country=jp	MISSING	JP0365-NPJB00383_00-TERRARIA00000001			50948560	
NPEA00271	EU	Plants VS Zombies	http://zeus.dl.playstation.net/cdn/EP0017/NPEA00271_00/ltbNCUdvlfOshumHQdGPjCtYfzMDTZQoPJDgbhnPnMYLnIGNNNnztVmDftIweXZb.pkg	NOT REQUIRED	EP0017-NPEA00271_00-PLNTSVZOMBIESPS3	2017-11-26 22:04:39		113191984	
NPEB00346	EU	Alien Breed 3: Descent (DEMO)	http://zeus.dl.playstation.net/cdn/EP4064/NPEB00346_00/jtzrDLLUPbAzEzeyrDYpjiOfiGONkQMUxckeltQHMfWdxKtFNWZJSeOGMwxDilwX.pkg	MISSING	EP4064-NPEB00346_00-ALIENBREED000031			1764966576	
